City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,23.99,94,75,6.69,CC,1724523933
1,adamstown,-25.066,-130.1015,19.09,69,89,6.51,PN,1724523935
2,boali,4.8005,18.1275,22.4,93,96,0.85,CF,1724523936
3,port-aux-francais,-49.35,70.2167,1.75,69,86,14.18,TF,1724523937
4,klyuchi,52.2667,79.1667,17.14,72,52,3.45,RU,1724523938
5,balqash,46.8481,74.995,20.15,46,39,7.2,KZ,1724523939
6,mandalgovi,45.7625,106.2708,17.61,45,100,3.47,MN,1724523941
7,margaret river,-33.95,115.0667,13.89,64,94,6.78,AU,1724523942
8,blackmans bay,-43.0167,147.3167,9.18,96,90,2.51,AU,1724523943
9,port saint john's,-31.6229,29.5448,19.48,90,1,10.94,ZA,1724523944
10,tolanaro,-25.0319,46.9987,20.04,52,75,5.14,MG,1724523946
11,ilulissat,69.2167,-51.1,7.01,93,75,0.0,GL,1724523947
12,dudinka,69.4058,86.1778,8.56,84,26,2.11,RU,1724523858
13,iqaluit,63.7506,-68.5145,9.85,57,75,8.23,CA,1724523949
14,port mathurin,-19.6833,63.4167,21.85,82,100,7.53,MU,1724523950
15,zhangzhou,24.5133,117.6556,24.84,96,29,0.35,CN,1724523678
16,hawaiian paradise park,19.5933,-154.9731,24.94,98,100,5.66,US,1724523953
17,grytviken,-54.2811,-36.5092,-1.71,73,18,3.17,GS,1724523954
18,aur,8.1499,171.1687,28.28,74,88,1.72,MH,1724523955
19,albany,42.6001,-73.9662,27.97,55,17,0.89,US,1724523838
20,stanley,54.868,-1.6985,14.04,64,20,7.72,GB,1724523958
21,avarua,-21.2078,-159.775,21.03,83,100,4.12,CK,1724523959
22,jayapura,-2.5333,140.7,24.66,94,96,1.95,ID,1724523961
23,edinburgh of the seven seas,-37.0676,-12.3116,14.33,87,91,16.71,SH,1724523962
24,prymors'k,46.7348,36.3443,27.48,48,1,3.89,UA,1724523963
25,polyarnyy,69.1989,33.4478,15.65,76,59,6.86,RU,1724523964
26,bilibino,68.0546,166.4372,4.22,76,96,1.35,RU,1724523966
27,bela vista,-22.1089,-56.5211,21.48,41,99,2.66,BR,1724523967
28,lebu,-37.6167,-73.65,10.97,53,87,2.25,CL,1724523968
29,bredasdorp,-34.5322,20.0403,10.95,74,6,4.32,ZA,1724523971
30,puerto natales,-51.7236,-72.4875,9.25,57,40,1.03,CL,1724523972
31,papatowai,-46.5619,169.4708,6.25,95,100,2.44,NZ,1724523973
32,tiksi,71.6872,128.8694,5.2,99,82,0.71,RU,1724523975
33,waitangi,-43.9535,-176.5597,11.01,98,23,1.34,NZ,1724523976
34,fort bragg,35.139,-79.006,27.04,50,0,3.09,US,1724523978
35,glace bay,46.1969,-59.957,25.5,61,75,6.17,CA,1724523980
36,saipan,15.1355,145.701,28.39,78,40,1.54,MP,1724523981
37,atafu village,-8.5421,-172.5159,27.4,81,69,9.1,TK,1724523983
38,chonchi,-42.6128,-73.8092,10.62,64,100,2.03,CL,1724523984
39,kigorobya,1.6162,31.3089,20.47,82,65,2.29,UG,1724523985
40,carlsbad,33.1581,-117.3506,27.23,66,0,4.92,US,1724523696
41,bystrice pod hostynem,49.3992,17.674,26.51,60,7,2.59,CZ,1724523988
42,burang,30.25,81.1667,9.4,81,89,2.01,CN,1724523989
43,talara,-4.5772,-81.2719,24.42,69,0,5.66,PE,1724523990
44,praia da vitoria,38.7333,-27.0667,25.14,61,20,3.41,PT,1724523991
45,queenstown,-31.8976,26.8753,16.84,33,48,2.67,ZA,1724523917
46,topolobampo,25.6,-109.05,31.95,58,40,3.09,MX,1724523994
47,zhalantun,48.0,122.7167,14.45,88,65,2.72,CN,1724523995
48,port elizabeth,-33.918,25.5701,17.16,83,75,7.2,ZA,1724523998
49,puerto baquerizo moreno,-0.9,-89.6,23.55,64,40,6.69,EC,1724524000
50,camayenne,9.535,-13.6878,26.75,85,100,6.18,GN,1724524001
51,kamaishi,39.2667,141.8833,22.66,96,99,0.77,JP,1724524002
52,basco,20.4487,121.9702,29.04,71,99,2.58,PH,1724524003
53,keflavik,64.0049,-22.5624,9.24,71,75,11.83,IS,1724523791
